,Product Name,Category,key word
0,寬鬆顯瘦大碼運動套裝T恤女夏季胖mm短袖短褲時尚休閒服兩件套,Female Clothes,"[[('坎肩', 0.9963735342025757)], [('男潮', 0.9967364072799683)], [('運動上衣', 0.9957097172737122)], [('汗背心', 0.9928315877914429)], [('愛迪達女', 0.9613074064254761)]]"
1,♬【現貨實拍】夏季新款 2017韓版熱銷淑女夏裝間約氣質條紋背心吊帶連體褲顯瘦闊腿褲,Female Clothes,"[[('坎肩', 0.9981047511100769)], [('坎肩', 0.9965722560882568)], [('坎肩', 0.9980881810188293)], [('超短褲', 0.9906607866287231)], [('夏褲', 0.9669225215911865)]]"
2,新款時尚大碼女士服裝韓版印花短袖 t恤女夏寬鬆顯瘦,Female Clothes,"[[('坎肩', 0.997592031955719)], [('無袖', 0.9965960383415222)], [('坎肩', 0.9976968765258789)], [('超短褲', 0.9909390211105347)], [('寬鬆短褲', 0.9540180563926697)]]"
3,a la sha 粉紅色阿財長版上衣,Female Clothes,"[[('android保護殼', 0.9967342615127563)], [('racast', 0.997551441192627)], [('用', 0.9979652166366577)], [('代步', 0.996961236000061)], [('浪', 0.9883855581283569)], [('花框', 0.9560279250144958)]]"
4,女人的店~上班短裙.包臀裙.西裝裙(垂性很好.不易皺.不起球.不沾毛) 350元,Female Clothes,"[[('棉質', 0.9980098605155945)], [('棉質', 0.9964991807937622)], [('運動上衣', 0.9954666495323181)], [('套裝', 0.9921109676361084)], [('愛迪達女', 0.9742096066474915)]]"
5,夏季韓版學生內衣無肩帶文胸隱形聚攏防滑無痕胸貼無鋼圈胸罩女士,Female Clothes,"[[('舒適', 0.9981019496917725)], [('舒適', 0.9973055124282837)], [('舒適', 0.9955999851226807)], [('背心', 0.9938043355941772)], [('bs4957', 0.9758188724517822)]]"
6,夏季韓版學生內衣無肩帶文胸隱形聚攏防滑無痕胸貼無鋼圈胸罩女士,Female Clothes,"[[('舒適', 0.9981019496917725)], [('舒適', 0.9973055124282837)], [('舒適', 0.9955999851226807)], [('背心', 0.9938043355941772)], [('bs4957', 0.9758188724517822)]]"
7,✨（現貨+預購）超百搭兩件式牛仔套裝荷葉上衣+寬褲,Female Clothes,"[[('羅紋', 0.996656060218811)], [('七分', 0.9968690872192383)], [('寬褲', 0.998087465763092)], [('舒適', 0.9964754581451416)], [('內襯', 0.9742430448532104)]]"
8,KB短裙,Female Clothes,"[[('暗黑系', 0.9972330331802368)], [('圓弧', 0.9985620975494385)], [('外套、罩衫', 0.9968131184577942)], [('七分袖', 0.9867737889289856)], [('睡衣套裝', 0.9632296562194824)]]"
9,CHICNOON 歐美單春夏新款歐洲站飛鳥條紋印花中長裙女 zara/H&M/pull bear,Female Clothes,"[[('白色', 0.9971676468849182)], [('白色', 0.9986308217048645)], [('棉質', 0.9959676861763)], [('五分袖', 0.9901971817016602)], [('字褲', 0.9729833602905273)]]"
10,AJ喬丹飛人 &supreme 聯合版連帽抓絨純棉套頭衛衣 時尚潮牌黑紅色外套 男裝,Female Clothes,"[[('同款', 0.9979795217514038)], [('蝙蝠', 0.9917112588882446)], [('袖', 0.9913458824157715)], [('a&f', 0.9760674238204956)]]"
11,AJ喬丹飛人 &supreme 聯合版連帽抓絨純棉套頭衛衣 時尚潮牌黑紅色外套 男裝,Female Clothes,"[[('同款', 0.9979795217514038)], [('蝙蝠', 0.9917112588882446)], [('袖', 0.9913458824157715)], [('a&f', 0.9760674238204956)]]"
12,現貨韓版顯瘦泳衣健身瑜珈背心式泳衣四角褲 顯瘦遊泳課溫泉泳裝大尺碼保守學生比基尼bikini兩截式voda,Female Clothes,"[[('加肥', 0.9949792623519897)], [('大碼泳衣', 0.9948704242706299)], [('大碼泳衣', 0.993730902671814)], [('加肥', 0.9906478524208069)], [('ck內褲', 0.9682564735412598)]]"
13,Pazzo粗細條紋針織背心 原價390$,Female Clothes,"[[('舒適', 0.9977058172225952)], [('舒適', 0.997575044631958)], [('排汗', 0.9954894781112671)], [('背心', 0.9933081865310669)], [('塑型', 0.9782745242118835)]]"
14,2套2100 nike情侶套裝 愛迪達運動套裝 男女運動裝 男套裝 女套裝 情侶裝 健身服 運動服 短袖套裝 短袖運動褲,Female Clothes,"[[('棉質', 0.9980158805847168)], [('棉質', 0.998989462852478)], [('棉質', 0.9956479072570801)], [('五分袖', 0.9924899935722351)], [('af短褲', 0.9783492684364319)]]"
15,❤現貨秒發❤2017春夏新款日系lolita洋裝圓領長袖領結白色修身蕾絲雪紡襯衫女,Female Clothes,"[[('舒適', 0.9976210594177246)], [('坎肩', 0.9971182346343994)], [('男士', 0.996080756187439)], [('汗背心', 0.9950439929962158)], [('塑型', 0.985575258731842)]]"
16,日風 夏天神器 舒適輕柔亞麻九分吊帶褲 Naomi --- SHU3357R 黑-- 雙口袋連身褲 闊腿褲寬褲,Female Clothes,"[[('鬆緊', 0.9973292350769043)], [('沙灘', 0.9968248009681702)], [('鬆緊', 0.9977389574050903)], [('背心', 0.9913147687911987)]]"
17,「預購」KENZO刺繡套裝,Female Clothes,"[[('夏天', 0.9971946477890015)], [('舒適', 0.9970445036888123)], [('運動上衣', 0.995948314666748)], [('套裝', 0.9935683012008667)], [('塑型', 0.9807229042053223)]]"
18,Breeze 波希米亞度假海邊夏天沙灘 細肩帶連身褲 吊帶連身褲 闊腿褲 寬褲 寬鬆休閒 性感 顯高顯瘦 AAF41,Female Clothes,"[[('沙灘', 0.9969425201416016)], [('沙灘', 0.9970002770423889)], [('闊腿褲', 0.9968757629394531)], [('透氣', 0.9947332143783569)]]"
19,Mika🌸雪紡粉色暈染套裝🌸上衣+短褲💕,Female Clothes,"[[('洛克', 0.9973282814025879)], [('特別', 0.9974945783615112)], [('綠', 0.9980031251907349)], [('涼感', 0.9917597770690918)], [('喜感', 0.9602315425872803)]]"
20,Mika🌸雪紡粉色暈染套裝🌸上衣+短褲💕,Female Clothes,"[[('洛克', 0.9973282814025879)], [('特別', 0.9974945783615112)], [('綠', 0.9980031251907349)], [('涼感', 0.9917597770690918)], [('喜感', 0.9602315425872803)]]"
21,♡RC♡歐美 韓版 性感 針織 細肩帶 荷葉邊 露肩 露背 顯瘦 羅紋 棉質 合身 修身 彈性 吊帶背心 新品特價,Female Clothes,"[[('內搭', 0.998063862323761)], [('寬褲', 0.9969937205314636)], [('功夫', 0.9965705275535583)], [('背心', 0.9919010400772095)], [('牛仔背心', 0.9608438014984131)]]"
22,厲害版型👍Korea淺刷色直筒褲,Female Clothes,"[[('服飾', 0.9971557855606079)], [('圓弧', 0.9984331727027893)], [('外套、罩衫', 0.9968520402908325)], [('短袖帽t', 0.9861240386962891)]]"
23,情趣內衣/情趣睡衣情趣內衣女騷極度誘惑女傭裝角色扮演女仆開檔SM制服透視睡衣套裝,Female Clothes,"[[('舒適', 0.9976732730865479)], [('針織', 0.9970955848693848)], [('坎肩', 0.9975441098213196)], [('背心', 0.9939739108085632)], [('無袖背心', 0.9714720845222473)]]"
24,#情侶時代 夏季原宿風淺色破洞條紋九分牛仔褲男女毛邊乞丐哈倫褲,Female Clothes,"[[('坎肩', 0.9964277744293213)], [('無袖', 0.9963076114654541)], [('針織', 0.9972772598266602)], [('坎肩', 0.9955161809921265)], [('運動內衣', 0.9504878520965576)]]"
25,📣滿499免運📣 全網最低 僅需29元 莫代爾吊帶背心女上衣歐美百搭短款修身顯瘦打底外穿黑色吊帶背心女生衣著,Female Clothes,"[[('舒適', 0.9970449805259705)], [('燕尾', 0.9969394207000732)], [('男士', 0.9951530694961548)], [('功夫', 0.9943233728408813)], [('瑜伽', 0.9825217723846436)]]"
